"Team","Country","Coefficient"
"Astana","Kaz",22.500000015625
"Feyenoord","Ned",21.0000000147059
"Maccabi Tel-Aviv","Isr",20.5000000140845
"PAOK","Gre",20.0000000138889
"AEK Athens","Gre",19.5000000136986
"Partizan","Srb",18.0000000111111
"BATE","Blr",17.5000000107527
"Molde","Nor",17.0000000106383
"CFR Cluj","Rom",16.5000000103093
"Rosenborg","Nor",14.0000000090909
"Maribor","Slo",14.0000000089286
"Rijeka","Cro",13.5000000086957
"Apollon","Cyp",13.5000000086207
"Fehervar","Hun",11.5000000083333
"Dundalk","Irl",10.5000000079365
"Vitoria Guimaraes","Por",9.62900000769231
"Suduva","Lit",8.75000000735294
"Slovan Liberec","Cze",8.00000000729927
"CSKA Sofia","Bul",8.00000000724638
"Zrinjski","Bos",8.00000000719425
"Dudelange","Lux",8.0000000070922
"Rubin","Rus",7.6760000002
"Aberdeen","Sco",7.50000000662252
"The New Saints","Wal",7.50000000653595
"Spartak Trnava","Svk",7.50000000649351
"Oostende","Bel",7.30000000636943
"Wattens","Aut",7.1650000002
"Jablonec","Cze",7.00000000617284
"Livingston","Sco",6.6750000002
"Vorskla","Ukr",6.62000000571429
"Alashkert","Arm",6.50000000558659
"Alanyaspor","Tur",6.02000000546448
"Osijek","Cro",6.00000000526316
"U Craiova","Rom",6.00000000520833
"Lincoln","Gib",5.75000000507614
"Randers","Den",5.5750000002
"Anorthosis","Cyp",5.55000000490196
"AEL Limassol","Cyp",5.55000000487805
"Vaduz","Lie",5.50000000478469
"Domzale","Slo",5.5000000046729
"Vojvodina","Srb",5.35000000462963
"Cukaricki","Srb",5.35000000458716
"HNK Gorica","Cro",5.25500000033333
